pr_number,title,author,merge_sha,stratum,changed_files,changed_file_count,change_kind,review_count,human_review_present,independent_human_review_present,author_comments_present,bot_review_present,eligible_for_primary_gold,independent_human_logins,bot_logins,exclusion_reason,notes
1375,Fix parent route agency references,priyanshu7739410,a84e19608feadd639096fe76cb792024daf9e6ca,api_gtfs,internal/restapi/search_stops_handler.go;internal/restapi/search_stops_handler_test.go,2,code,4,True,True,True,True,True,ARCoder181105;burma-shave,CLAassistant;coderabbitai[bot];sonarqubecloud[bot],,"bots=CLAassistant,coderabbitai[bot],sonarqubecloud[bot]; humans=ARCoder181105,burma-shave,priyanshu7739410; candidate_stratum=api_gtfs"
1315,Fix schedule timezone and outOfRange bounds in trips-for-location,ARCoder181105,6730054733f7a00d347e2cfa817aa00ccd705116,api_gtfs,internal/gtfs/location_params.go;internal/gtfs/location_params_test.go;internal/restapi/trips_for_location_handler.go,3,code,4,True,True,True,True,True,aaronbrethorst;burma-shave;soumajitgh,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=ARCoder181105,aaronbrethorst,burma-shave,soumajitgh; candidate_stratum=api_gtfs"
1348,Feat: GTFS Frequencies Phase 3 - API Integration & Handlers,3rabiii,a201098396751da220cc596f39cd30e94ef592bc,api_gtfs,internal/restapi/schedule_for_stop_handler.go,1,code,19,True,True,False,True,True,aaronbrethorst;burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=aaronbrethorst,burma-shave; candidate_stratum=api_gtfs; phase4_surfaces_after_cache_miss"
1386,Report headway-based service in schedule-for-stop frequencies,ARCoder181105,4843520d82a4e79d51afedd27cf3504514a62b4c,api_gtfs,internal/restapi/schedule_for_stop_handler.go,1,code,3,True,True,False,True,True,Ahmedhossamdev;burma-shave,coderabbitai[bot],,"bots=coderabbitai[bot]; humans=Ahmedhossamdev,burma-shave; candidate_stratum=api_gtfs; phase4_surfaces_after_cache_miss"
1329,Fix multi-timezone trip service dates,soumajitgh,f29b603548aee8bf1b6e4999e324c414513ced30,api_gtfs,internal/restapi/trips_for_location_handler.go,1,code,2,True,True,True,True,True,aaronbrethorst,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=aaronbrethorst,soumajitgh; candidate_stratum=api_gtfs; phase4_surfaces_after_cache_miss"
1374,Stop caching real-time responses as static,ARCoder181105,0ef9904ce5da6d4b04e70ce9a134416b272e5969,concurrency,internal/restapi/stop_handler.go,1,code,1,True,False,False,True,False,burma-shave,coderabbitai[bot];sonarqubecloud[bot],independent_human_not_meaningful,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=burma-shave; candidate_stratum=concurrency; phase4_surfaces_after_cache_miss"
1428,fix(block): reset distanceAlongBlock between configurations,priyanshu7739410,239664889cbb9500a4943c4ba5ac386b4fd2b09a,concurrency,internal/restapi/block_handler.go,1,code,1,True,True,True,True,True,omlahore,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=omlahore,priyanshu7739410; candidate_stratum=concurrency; phase4_surfaces_after_cache_miss"
1372,Precompute each stop agency at import time,ARCoder181105,b50f8aab7c43fee842a565b1106c11be25de5cc3,database,gtfsdb/schema.sql;gtfsdb/client.go,2,code,3,True,True,True,True,True,Ahmedhossamdev;burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=ARCoder181105,Ahmedhossamdev,burma-shave; candidate_stratum=database; phase4_surfaces_after_cache_miss"
1378,Fix swallowed duplicated trip lookup errors,priyanshu7739410,5563ac9f4a19c757dd5b594025bb9ef4083c8301,database,internal/restapi/trips_for_route_handler.go,1,code,3,True,False,True,True,False,burma-shave,coderabbitai[bot];sonarqubecloud[bot],independent_human_not_meaningful,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=burma-shave,priyanshu7739410; candidate_stratum=database; phase4_surfaces_after_cache_miss"
1288,refactor: explicitly track referenced trips in buildTripReferences,3rabiii,09946324a7857ef48b85e36bd5f2e3131e495544,database,internal/restapi/trips_for_route_handler.go,1,code,3,True,True,True,True,True,aaronbrethorst;burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=3rabiii,aaronbrethorst,burma-shave; candidate_stratum=database; phase4_surfaces_after_cache_miss"
1347,Reuse resolved situations for arrivals,soumajitgh,710c2119b679bb54d062b192c9e5361c5ba1437d,database,internal/restapi/arrivals_and_departures_for_stop_handler.go,1,code,2,True,True,True,True,True,ARCoder181105;aaronbrethorst,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=ARCoder181105,aaronbrethorst,soumajitgh; candidate_stratum=database; phase4_surfaces_after_cache_miss"
702,refactor: extract withTransaction helper for GTFS bulk imports,tejasva-vardhan,abebfc2f9193603f67b25ac6b976623623857826,database,gtfsdb/helpers.go;internal/models/schedule_for_route.go;internal/restapi/schedule_for_route_handler.go;internal/restapi/schedule_for_route_handler_test.go,4,code,3,True,True,True,False,True,aaronbrethorst,,,PR author is tejasva-vardhan; author comments are never gold; humans=aaronbrethorst; candidate_stratum=database
1298,test: add E2E coverage for DUPLICATED real-time trips,3rabiii,fc606b6f08446c715071bf1216ad39eb83afe2bf,test_refactor,internal/restapi/trips_for_route_handler_test.go,1,code,2,True,True,True,True,True,aaronbrethorst;burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=3rabiii,aaronbrethorst,burma-shave; candidate_stratum=test_refactor; phase4_surfaces_after_cache_miss"
1300,test: add E2E coverage for status sub-object fields,3rabiii,d5e5408c5c652e7bf170782c771f8a4c1055ff09,test_refactor,internal/restapi/trips_for_route_handler_test.go,1,code,2,True,True,False,True,True,aaronbrethorst;burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=aaronbrethorst,burma-shave; candidate_stratum=test_refactor; phase4_surfaces_after_cache_miss"
1407,Extract per-stop arrivals into shared functions,ARCoder181105,ead664441347f7ad0adaa7e61e2a2b5bb3842c47,test_refactor,internal/restapi/arrivals_core.go,1,code,2,True,True,True,True,True,burma-shave,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=ARCoder181105,burma-shave; candidate_stratum=test_refactor; phase4_surfaces_after_cache_miss"
1359,routes-for-location spec test gaps,ARCoder181105,dbddfa8ff53816b5c74695da1a407b717a39d614,test_refactor,internal/restapi/routes_for_location_handler_test.go,1,code,2,True,True,True,True,True,Ahmedhossamdev;aaronbrethorst,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=ARCoder181105,Ahmedhossamdev,aaronbrethorst; candidate_stratum=test_refactor; phase4_surfaces_after_cache_miss"
1365,Fix trips-for-location cap regression test to actually detect the cap,soumajitgh,7043c4160a96bbb0039f945e32a6390133a55289,test_refactor,internal/restapi/trips_for_location_handler_test.go,1,code,0,False,False,False,True,False,,coderabbitai[bot];sonarqubecloud[bot],bot_only_or_author_only,"bots=coderabbitai[bot],sonarqubecloud[bot]; candidate_stratum=test_refactor; phase4_surfaces_after_cache_miss"
1296,Clock into ParseTimeParameter plus time-edge tests,3rabiii,94b2035020db6a24300c293a4a227d0d03438b8e,test_refactor,internal/utils/api.go,1,code,2,True,True,False,True,True,aaronbrethorst,coderabbitai[bot];sonarqubecloud[bot],,"bots=coderabbitai[bot],sonarqubecloud[bot]; humans=aaronbrethorst; candidate_stratum=test_refactor; phase4_surfaces_after_cache_miss"
1284,search-route: complete test coverage and spec verification,ARCoder181105,900fdbedce60cd5b7393572b970826714916018c,test_refactor,internal/restapi/route_search_handler.go,1,code,3,True,False,True,True,False,Ahmedhossamdev,coderabbitai[bot],independent_human_not_meaningful,"bots=coderabbitai[bot]; humans=ARCoder181105,Ahmedhossamdev; candidate_stratum=test_refactor; phase4_surfaces_after_cache_miss"
507,fix: add panic recovery middleware for HTTP handlers,tejasva-vardhan,8328235a30ac0bdda6b964fae5d475f63af79389,api_gtfs,internal/restapi/recovery_middleware.go,1,code,2,True,True,True,False,True,ARCoder181105;aaronbrethorst,,,"PR author is tejasva-vardhan; author comments are never gold; humans=ARCoder181105,aaronbrethorst; candidate_stratum=api_gtfs; phase4_surfaces_after_cache_miss"
